movie,year,production_budget,gross_revenue,month,profit,release_date,genre_list,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Pirates of the Caribbean: On Stranger Tides,2011,410600000,1045663875,5,635063875,2011-05-20,"['Adventure', 'Action', 'Fantasy']","Adventure,Action,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Avengers: Age of Ultron,2015,330600000,1403013963,5,1072413963,2015-05-01,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Avengers: Infinity War,2018,300000000,2048134200,4,1748134200,2018-04-27,"['Adventure', 'Action', 'Fantasy']","Adventure,Action,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Justice League,2017,300000000,655945209,11,355945209,2017-11-17,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Justice League,2017,300000000,655945209,11,355945209,2017-11-17,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Spectre,2015,300000000,879620923,11,579620923,2015-11-06,"['Action', 'Adventure', 'Crime']","Action,Adventure,Crime",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectre,2015,300000000,879620923,11,579620923,2015-11-06,"['Action', 'Adventure', 'Crime']","Action,Adventure,Crime",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight Rises,2012,275000000,1084439099,7,809439099,2012-07-20,"['Action', 'Crime', 'Drama', 'Thriller']","Action,Crime,Drama,Thriller",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Solo: A Star Wars Story,2018,275000000,393151347,5,118151347,2018-05-25,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Lone Ranger,2013,275000000,260002115,7,-14997885,2013-07-03,"['Action', 'Adventure', 'Western']","Action,Adventure,Western",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
John Carter,2012,275000000,282778100,3,7778100,2012-03-09,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tangled,2010,260000000,586477240,11,326477240,2010-11-24,"['Animation', 'Family']","Animation,Family",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Captain America: Civil War,2016,250000000,1140069413,5,890069413,2016-05-06,"['Adventure', 'Action', 'Science Fiction']","Adventure,Action,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Batman v Superman: Dawn of Justice,2016,250000000,867500281,3,617500281,2016-03-25,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Hobbit: An Unexpected Journey,2012,250000000,1017003568,12,767003568,2012-12-14,"['Adventure', 'Fantasy', 'Action']","Adventure,Fantasy,Action",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Desolation of Smaug,2013,250000000,960366855,12,710366855,2013-12-13,"['Adventure', 'Fantasy', 'Action']","Adventure,Fantasy,Action",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Battle of the Five Armies,2014,250000000,945577621,12,695577621,2014-12-17,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Fate of the Furious,2017,250000000,1234846267,4,984846267,2017-04-14,"['Action', 'Crime', 'Thriller']","Action,Crime,Thriller",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pirates of the Caribbean: Dead Men Tell No Tales,2017,230000000,788241137,5,558241137,2017-05-26,"['Adventure', 'Action', 'Fantasy', 'Comedy']","Adventure,Action,Fantasy,Comedy",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Avengers,2012,225000000,1517935897,5,1292935897,2012-05-04,"['Science Fiction', 'Action', 'Adventure']","Science Fiction,Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Man of Steel,2013,225000000,667999518,6,442999518,2013-06-14,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Amazing Spider-Man,2012,220000000,757890267,7,537890267,2012-07-04,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Battleship,2012,220000000,313477717,5,93477717,2012-05-18,"['Thriller', 'Action', 'Adventure', 'Science Fiction']","Thriller,Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Transformers: The Last Knight,2017,217000000,602893340,6,385893340,2017-06-21,"['Action', 'Science Fiction', 'Thriller', 'Adventure']","Action,Science Fiction,Thriller,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Jurassic World,2015,215000000,1648854864,6,1433854864,2015-06-12,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","Action,Adventure,Science Fiction,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Men in Black 3,2012,215000000,654213485,5,439213485,2012-05-25,"['Action', 'Comedy', 'Science Fiction']","Action,Comedy,Science Fiction",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Transformers: Age of Extinction,2014,210000000,1104039076,6,894039076,2014-06-27,"['Science Fiction', 'Action', 'Adventure']","Science Fiction,Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Robin Hood,2010,210000000,322459006,5,112459006,2010-05-14,"['Action', 'Adventure', 'Drama']","Action,Adventure,Drama",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Panther,2018,200000000,1348258224,2,1148258224,2018-02-16,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Incredibles 2,2018,200000000,1242520711,6,1042520711,2018-06-15,"['Action', 'Adventure', 'Animation', 'Family']","Action,Adventure,Animation,Family",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rogue One: A Star Wars Story,2016,200000000,1049102856,12,849102856,2016-12-16,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rogue One: A Star Wars Story,2016,200000000,1049102856,12,849102856,2016-12-16,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Finding Dory,2016,200000000,1021215193,6,821215193,2016-06-17,"['Adventure', 'Animation', 'Comedy', 'Family']","Adventure,Animation,Comedy,Family",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Toy Story 3,2010,200000000,1068879522,6,868879522,2010-06-17,"['Animation', 'Family', 'Comedy']","Animation,Family,Comedy",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Iron Man 3,2013,200000000,1215392272,5,1015392272,2013-05-03,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alice in Wonderland,2010,200000000,1025491110,3,825491110,2010-03-05,"['Family', 'Fantasy', 'Adventure']","Family,Fantasy,Adventure",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Alice in Wonderland,2010,200000000,1025491110,3,825491110,2010-01-01,[None],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skyfall,2012,200000000,1110526981,11,910526981,2012-11-09,"['Action', 'Adventure', 'Thriller']","Action,Adventure,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Monsters University,2013,200000000,743588329,6,543588329,2013-06-21,"['Animation', 'Family']","Animation,Family",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Oz the Great and Powerful,2013,200000000,490359051,3,290359051,2013-03-08,"['Fantasy', 'Adventure', 'Family']","Fantasy,Adventure,Family",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
X-Men: Days of Future Past,2014,200000000,747862775,5,547862775,2014-05-23,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Amazing Spider-Man 2,2014,200000000,708996336,5,508996336,2014-05-02,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cars 2,2011,200000000,560155383,6,360155383,2011-06-16,"['Animation', 'Family', 'Adventure', 'Comedy']","Animation,Family,Adventure,Comedy",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fantastic Beasts: The Crimes of Grindelwald,2018,200000000,652220086,11,452220086,2018-11-16,['Adventure'],Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Lantern,2011,200000000,219535492,6,19535492,2011-06-17,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","Adventure,Action,Thriller,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Transformers: Dark of the Moon,2011,195000000,1123790543,6,928790543,2011-06-28,"['Action', 'Science Fiction', 'Adventure']","Action,Science Fiction,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Mummy,2017,195000000,409953905,6,214953905,2017-06-09,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']","Fantasy,Thriller,Action,Adventure,Horror",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Jack the Giant Slayer,2013,195000000,197687603,3,2687603,2013-03-01,"['Action', 'Adventure', 'Family', 'Fantasy']","Action,Adventure,Family,Fantasy",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Furious 7,2015,190000000,1518722794,4,1328722794,2015-04-03,"['Action', 'Crime', 'Thriller']","Action,Crime,Thriller",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Star Trek Into Darkness,2013,190000000,467381584,5,277381584,2013-05-16,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
World War Z,2013,190000000,531514650,6,341514650,2013-06-21,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","Action,Drama,Horror,Science Fiction,Thriller",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
The Great Gatsby,2013,190000000,351040419,5,161040419,2013-05-10,"['Drama', 'Romance']","Drama,Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Pacific Rim,2013,190000000,411002906,7,221002906,2013-07-12,"['Action', 'Science Fiction', 'Adventure']","Action,Science Fiction,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Good Dinosaur,2015,187500000,333771037,11,146271037,2015-11-25,"['Adventure', 'Animation', 'Family']","Adventure,Animation,Family",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Good Dinosaur,2015,187500000,333771037,11,146271037,2015-11-25,"['Adventure', 'Animation', 'Family']","Adventure,Animation,Family",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brave,2012,185000000,554606532,6,369606532,2012-06-22,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']","Animation,Adventure,Comedy,Family,Action,Fantasy",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Kong: Skull Island,2017,185000000,561072059,3,376072059,2017-03-10,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Star Trek Beyond,2016,185000000,335802233,7,150802233,2016-07-22,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Blade Runner 2049,2017,185000000,259357408,10,74357408,2017-10-06,"['Science Fiction', 'Action', 'Thriller']","Science Fiction,Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Blade Runner 2049,2017,185000000,259357408,10,74357408,2017-10-06,"['Science Fiction', 'Action', 'Thriller']","Science Fiction,Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Thor: Ragnarok,2017,180000000,846980024,11,666980024,2017-11-03,"['Action', 'Adventure', 'Comedy', 'Fantasy']","Action,Adventure,Comedy,Fantasy",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thor: Ragnarok,2017,180000000,846980024,11,666980024,2017-11-03,"['Action', 'Adventure', 'Comedy', 'Fantasy']","Action,Adventure,Comedy,Fantasy",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maleficent,2014,180000000,758536735,5,578536735,2014-05-30,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']","Fantasy,Adventure,Action,Family,Romance",1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Fantastic Beasts and Where to Find Them,2016,180000000,802402853,11,622402853,2016-11-18,"['Adventure', 'Family', 'Fantasy']","Adventure,Family,Fantasy",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Fantastic Beasts and Where to Find Them,2016,180000000,802402853,11,622402853,2016-11-18,"['Adventure', 'Family', 'Fantasy']","Adventure,Family,Fantasy",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Legend of Tarzan,2016,180000000,348902025,7,168902025,2016-07-01,"['Action', 'Adventure']","Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo,2011,180000000,180047784,11,47784,2011-11-23,"['Adventure', 'Drama', 'Family']","Adventure,Drama,Family",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Valerian and the City of a Thousand Planets,2017,180000000,215098356,7,35098356,2017-07-21,"['Adventure', 'Science Fiction', 'Action']","Adventure,Science Fiction,Action",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jupiter Ascending,2015,179000000,181982519,2,2982519,2015-02-27,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']","Science Fiction,Fantasy,Action,Adventure",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
X-Men: Apocalypse,2016,178000000,542537546,5,364537546,2016-05-27,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","Action,Adventure,Science Fiction,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Meg,2018,178000000,529530715,8,351530715,2018-08-10,"['Action', 'Science Fiction', 'Thriller', 'Horror']","Action,Science Fiction,Thriller,Horror",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Edge of Tomorrow,2014,178000000,370541256,6,192541256,2014-06-06,"['Action', 'Science Fiction']","Action,Science Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Jungle Book,2016,175000000,962854547,4,787854547,2016-04-15,"['Adventure', 'Drama', 'Family', 'Fantasy']","Adventure,Drama,Family,Fantasy",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Inside Out,2015,175000000,854235992,6,679235992,2015-06-19,"['Drama', 'Comedy', 'Animation', 'Family']","Drama,Comedy,Animation,Family",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Homecoming,2017,175000000,880166350,7,705166350,2017-07-07,"['Action', 'Adventure', 'Science Fiction', 'Drama']","Action,Adventure,Science Fiction,Drama",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Suicide Squad,2016,175000000,746059887,8,571059887,2016-08-05,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']","Action,Adventure,Crime,Fantasy,Science Fiction",1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Coco,2017,175000000,798008101,11,623008101,2017-11-22,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']","Animation,Family,Comedy,Adventure,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
